distance_to_subject,prop_type,stories,address,city_province,sale_date,sale_price,dom,location_similarity,lot_size,age,condition,gla,room_count,bed_count,bath_count,basement_finish,parking,neighborhood,orderID
2.91 KM,Detached,2 Storey,107 Ahmadi Cres,Bedford NS B4A 4E5,Sep/20/2024,"1,200,000",69+/-,Similar,18036+/-SqFt,20+/-,Superior,3774+/-SqFt,11,5,3:1,Full/Finished,Dbl. Att. Gar.,,4761433
1.89 KM,Detached,Bungalow,868 Roshan Dr,Kingston ON K7P 0B2,Mar/19/2025,"797,000",107,Inferior,"49' x 119' / 5,831 sf",13,Inferior,"1,805 SqFt",17,2+2,3:0,Full/Finished/Inlaw,Double Attached,,4761446
0.51 KM,Detached,Bungalow,1249 Carfa Cres,Kingston ON K7P 0M7,Nov/16/2024,"1,095,000",10,Superior,"50' x 118' / 5,900 sf",5,Superior,"1,741 SqFt",6+3,3+1,3:0,Full Finished/Walkout,Double Attached,,4761446
1.12 KM,Detached,Split Level,891 Safari Dr,Kingston ON K7M 6W2,Nov/20/2024,"856,000",23,Inferior,"60' x 110' / 6,600 sf",46,Inferior,"2,094 SqFt",12+4,3+1,2:1,Full Finished/Walkout,Double Attached,,4761446
1.30 KM,Detached,2 Storey,209 Glen Arbour Way,Hammonds Plains NS B4B 1T5,Apr/07/2025,"930,000",93+/-,Superior,52500+/-SqFt,25+/-yrs,Superior,3167+/-SqFt,7,2,2:1,Full/Finished,Dbl. Att. Gar.,,4759647
5.27 KM,Detached,2 Storey,1 Virginia Dr,Hammonds Plains NS B4B 1S5,Feb/21/2025,"692,000",82+/-,Inferior,50853+/-SqFt,28+/-yrs,Inferior,2343+/-SqFt,7,4,2:1,Full/Finished,Dbl. (2Bay) Att. Gar.,,4759647
3.50 KM,Detached,2 Storey,1693 White Hills Run,Hammonds Plains NS B4B 1W1,Feb/14/2025,"588,000",5+/-,Inferior,82700+/-SqFt,21+/-yrs,Inferior,1664+/-SqFt,6,3,2:1,Full/Unfinished,Driveway,,4759647
1.74 KM,Detached,2-Storey,142 Chenoa Way,Nepean ON K2J 0W8,Jan/25/2025,"1,435,000",79,Similar,50.15 x 123 / 6196 SqFt,2009 +/-,Similar,3574 SqFt,8,4,4:1,Full/Finished,Dbl. Att. Gar.,,4759723
1.05 KM,Detached,2-Storey,100 Brambling Way,Nepean ON K2J 5V3,Jan/31/2025,"1,150,000",16,Similar,58.12 x 98.32 / 5600 SqFt,2012 +/-,Inferior,3756 SqFt,8,4,4:1,Full/Finished,Dbl. Att. Gar.,,4759723
0.91 KM,Detached,2-Storey,334 Shadehill Cres,Nepean ON K2J 0L6,Feb/05/2025,"1,244,900",13,Similar,49.98 x 116.28 / 5823 SqFt,2007 +/-,Inferior,2442 SqFt,8,3,3:1,Full/Finished,Dbl. Att. Gar.,,4759723
1.51 KM,Detached,Bungalow Raised,3948 Vandorf Siderd,Stouffville ON L4A 4K3,Mar/28/2025,"2,580,000",104,Similar,10.029 Acres,12,Similar,2017 SqFt,6,3,3:1,Full Finished/Walkout,Dbl. Att. Gar.,,4760530
7.58 KM,Detached,Bungalow,11 Union St,Stouffville ON L0H 1G0,Dec/03/2024,"2,430,000",60,Similar,1.22 Acres,37,Inferior,2133 SqFt,7,3,2:2,Full Finished/Walkout,Dbl. Att. Gar.,,4760530
3.46 KM,Detached,Bungalow,9 Elias Snider Crt,Stouffville ON L4A 2G3,Sep/06/2024,"2,200,000",59,Similar,1.47 acres,25,Inferior,2676 SqFt,11,4,4:1,Full/Finished,Trpl. Att. Gar.,,4760530
0.63 KM,Townhouse,2 1/2 Storey,133 William St,Kingston ON K7L 2C7,Jan/20/2025,"890,000",13,Superior,19' x 106' / 2014 SqFt,100+,Inferior,2250 +/- SqFt,9,5,2:1,Full/Part Finished,1 Parking space,,4760630
0.37 KM,Townhouse,2 1/2 Storey,297 University Ave,Kingston ON K7L 3R3,Mar/26/2025,"770,000",9,Similar,17' x 105' / 1785 SqFt,100+,Inferior,1750 +/- SqFt,10,5,1:1,Cellar,1 Parking space,,4760630
0.07 KM,Townhouse,2-Storey,368 Barrie St,Kingston ON K7K 3T3,Apr/07/2025,"770,000",13,Similar,17' x 58' / 986 SqFt,100+,Inferior,1750 +/- SqFt,10,6,2:0,Cellar,No Parking,,4760630
0.37 KM,Detached,2 Storey,57 Taleen Dr,Lower Sackville NS B4C 4A5,Feb/21/2025,"487,000",2,Similar,3400 SqFt,32,Similar,1200 SqFt,6,3,1:1,Full/Finished,Driveway,,4760651
0.12 KM,Detached,2 Storey,4 Victoria Dr,Lower Sackville NS B4C 4C3,Mar/27/2025,"505,000",13,Similar,3719 SqFt,32,Similar,1540 SqFt,6,3,1:1,Full/Finished,Driveway,,4760651
1.62 KM,Detached,2 Storey,9 Penstock Crt,Middle Sackville NS B4E 2L6,Dec/17/2024,"475,000",4,Similar,3148 SqFt,37,Similar,1320 SqFt,6,3,1:1,Full/Part Finished,Driveway,,4760651
0.06 KM,Detached,2 Storey,1059 Cornerstone St NE,Calgary AB T3N 1G6,Mar/20/2025,"686,000",67 +/-,Similar,285 SqM,2016,Good,1808 SqFt,8,3,2F 1H,Full/Finished,Dbl. Det. Gar.,,4760900
1.33 KM,Detached,2 Storey,312 Redstone Ave NE,Calgary AB T3N 1M8,Feb/12/2025,"690,000",27 +/-,Similar,282 SqM,2019,Good,1801 SqFt,6,3,2F 1H,Full/Finished,Dbl. Det. Gar.,,4760900
1.53 KM,Detached,2 Storey,90 Corner Ridge Mews NE,Calgary AB T3N 1X4,Mar/10/2025,"680,000",58 +/-,Superior,314 SqM,2021,Good,1640 SqFt,7,3,2F 1H,Full/Finished,Off Street,,4760900
0.07 KM,Detached,Bungalow,523 35A St NW,Calgary AB T2N 3A1,Nov/22/2024,"802,500",15,Superior,492 SqM,1952,Similar,94 SqM,5,2,2F,Full/Finished,Sgl. Det. gar.,,4742669
1.77 KM,Detached,1.5 Storey,2425 3 Ave NW,Calgary AB T2N 0L2,Jan/24/2025,"670,000",2,Superior,503 SqM,1945,Inferior,94 SqM,5,2,1F,Part/Unfinished,Sgl. Det. gar.,,4742669
1.54 KM,Detached,Bungalow,2536 4 Ave NW,Calgary AB T2N 0P4,Dec/26/2024,"810,000",21,Superior,501 SqM,1951,Similar,78 SqM,4,2,2F,Full/Finished,Sgl. Det. gar.,,4742669
2.17 KM,Detached,2 Storey,3116 Winspear Cres SW,Edmonton AB T6X 1P3,Nov/01/2024,"842,500",90,Inferior,514 SqM,10,Similar,2770 SqFt,8,4,2 Full/1Half,Full Finished/Walkout,Dbl. Att. Gar.,,4752865
4.69 KM,Detached,2 Storey,716 40 St SW,Edmonton AB T6X 2G4,Aug/25/2024,"844,707",33,Inferior,430 SqM,9,Similar,2556 SqFt,7,3,2 Full/1Half,Full Finished/Walkout,Dbl. Att. Gar.,,4752865
3.27 KM,Detached,2 Storey,1253 Adamson Dr SW,Edmonton AB T6W 1Z4,Jan/24/2025,"1,194,500",108,Superior,675 SqM,13,Superior,3364 SqFt,8,4,2 Full/1Half,Full Finished/Walkout,Trpl. Att. Gar.,,4752865
4.01 KM,Detached,2 Storey,1959 Montclair Ave,Orléans ON K1W 1H9,Feb/07/2025,"942,500",8 +/-,Similar,47Fx116F/5541 SqFt,1998,Inferior,2596 SqFt,10,4,2:1,Full/Unfinished,Dbl. Att. Gar.,,4755196
0.43 KM,Detached,2 Storey,415 Hepatica Way,Orléans ON K4A 1G3,Mar/31/2025,"1,085,000",38 +/-,Similar,42Fx94F/ 4085 SqFt,2018,Inferior,3351 SqFt,10,4,3:1,Full/Unfinished,Dbl. Att. Gar.,,4755196
0.84 KM,Detached,2 Storey,156 Aquarium Ave,Orléans ON K4A 1L1,Mar/08/2025,"1,130,000",2 +/-,Similar,42Fx95F/4230 SqFt,2020,Superior,3071 SqFt,8,4,3:1,Full/Finished,Dbl. Att. Gar.,,4755196
2.30 KM,High Rise Apartment,1 Storey,1606-1111 10 St SW,Calgary AB T2R 1E3,Jan/31/2025,"517,500",14 +/-,Inferior,Common Property,2012,Inferior,965 SqFt,6,2,2F,None,1 Underground Stall,,4756192
1.92 KM,High Rise Apartment,1 Storey,3205-930 6 Ave SW,Calgary AB T2P 1J3,Feb/12/2025,"574,900",31 +/-,Superior,Common Property,2017,Inferior,980.69 SqFt,6,2,2F,None,1 Underground Stall,,4756192
0.21 km,High Rise Apartment,1 Storey,Unit 2602 - 510 6 Avenue SE,"Calgary , Alberta, T2G 0H1",Mar/27/2025,"607,500",41 +/-,Superior,Common Property,2016,Inferior,1037.62 SqFt,5,2,2F,None,2 Underground Stalls,,4756192
0.51 KM,Detached,2 Storey,3018 Arthurs Cres SW,Edmonton AB T6W 2H9,Nov/21/2024,"441,500",83,Similar,253 SqM,11,Similar,1425 SqFt,5,3,2 Full/1Half,Full/Unfinished,Dbl. Det. Gar.,,4756320
0.67 KM,Detached,2 Storey,146 Allard Link SW,Edmonton AB T6W 2J1,Oct/12/2024,"468,000",99,Similar,348 SqM,9,Similar,1580 SqFt,5,3,2 Full/1Half,Full/Unfinished,Dbl. Det. Gar.,,4756320
0.81 KM,Detached,2 Storey,645 Allard Blvd SW,Edmonton AB T6W 2G3,Feb/27/2025,"478,000",10,Similar,406 SqM,11,Similar,1440 SqFt,5,3,2 Full/1Half,Full/Unfinished,Dbl. Det. Gar.,,4756320
1.39 KM,Townhouse,2 Storey,283 Falsetto St,Orléans ON K1W 0S4,Feb/04/2025,"635,000",21,Similar,24.88 x 69 / 1722 SqFt,2024 +/-,Superior,1569 SqFt,6,3,3:1,Full/Finished,Sgl. Att. Gar.,,4756829
1.57 KM,Townhouse,2 Storey,783 Percifor Way,Orléans ON K1W 0E5,Feb/21/2025,"612,500",25,Similar,20.96 x 92.49 / 1941 SqFt,2011 +/-,Similar,1740 SqFt,7,3,2:1,Full/Finished,Sgl. Att. Gar.,,4756829
1.61 KM,Townhouse,2 Storey,178 Joshua St,Orléans ON K1W 0C4,Feb/16/2025,"632,000",9,Similar,22.44 x 125.92 / 2417 SqFt,2019 +/-,Superior,1515 SqFt,6,3,2:1,Full/Finished,Sgl. Att. Gar.,,4756829
0.77 KM,Detached,Bi-Level,924 15 Ave NE,Calgary AB T2E 1J1,Feb/26/2025,"760,000",22,Superior,557 SqM,1953,Similar,99 SqM,5,3,2F,Full/Finished,Dbl. Det. Gar.,,4757939
0.88 KM,Detached,Bungalow,632 12 Ave NE,Calgary AB T2E 1B1,Jan/03/2025,"773,000",97,Similar,557 SqM,1944,Superior,58 SqM,4,1,1F,Full/Finished,Dbl. Det. Gar.,,4757939
3.01 KM,Detached,Bungalow,3310 Centre St NE,Calgary AB T2E 2X8,Jan/06/2025,"650,000",123,Inferior,557 SqM,1949,Similar,88 SqM,5,2,2F,Full/Finished,Dbl. Det. Gar.,,4757939
0.61 KM,Low Rise Apartment,1 Storey,2207-950 Arbour Lake Rd NW,Calgary AB T3G 5B3,Apr/04/2025,"378,900",77 +/-,Similar,Common Property,2003,Good,1130 SqFt,7,2,2F,None,2 UG Stalls,,4757966
0.00 KM,Low Rise Apartment,1 Storey,215-88 Arbour Lake Rd NW,Calgary AB T3G 0C2,Mar/11/2025,"328,500",35 +/-,Similar,Common Property,2008,Good,950 SqFt,6,2,2F,None,1 UG Stall,,4757966
0.00 KM,Low Rise Apartment,1 Storey,206-88 Arbour Lake Rd NW,Calgary AB T3G 0C2,Mar/12/2025,"384,000",19 +/-,Similar,Common Property,2008,Good,1060.09 SqFt,6,2,2F,None,2 UG Stalls,,4757966
0.06 KM,Detached,2 Storey,4 Rockcliff Pt NW,Calgary AB T3G 5Z4,Dec/09/2024,"1,249,000",46,Inferior,677 SqM,2006,Good,285 SqM,8,3,3F 1H,Full/Finished,Trpl. Att. Gar.,,4758025
0.24 KM,Detached,2 Storey,61 Rockford Rd NW,Calgary AB T3G 0E1,Jan/16/2025,"1,235,000",6,Similar,512 SqM,2013,Good,240 SqM,8,3,3F 1H,Full/Finished,Dbl. Att. Gar.,,4758025
0.43 KM,Detached,2 Storey,1 Rock Lake Pt NW,Calgary AB T3G 0E9,Mar/18/2025,"1,175,000",12,Inferior,546 SqM,2023,Superior,230 SqM,9,4,3F,Full/Unfinished,Trpl. Att. Gar.,,4758025
0.17 KM,Condominium,1 Storey,216-100 Auburn Meadows Manor SE,Calgary AB T3M 3H2,Apr/03/2025,"378,000",28,Similar,Common Property,2020,Good,934,5,2,2,None,"1, Undgrnd. Stall",,4758316
,Condominium,Apartment-Low-Rise (,411-25 Auburn Meadows Ave SE,Calgary AB T3M 2L3,Feb/13/2025,"390,000",22,Similar,Common Property,2015,Good,881,7,2,2,None,"2, Undgrnd. Stalls",,4758316
1.18 KM,Condominium,Apartment-Low-Rise (,105-22 Auburn Bay Link SE,Calgary AB T3M 1Z8,Mar/15/2025,"344,000",17,Similar,Common Property,2015,Inferior,875 SqFt,6,2,2,None,"1, Undgrnd. Stall",,4758316
9.03 KM,Detached,1 Storey,20 Creekside Way,Mill Cove NS B0J 1T0,Feb/21/2025,"550,000",55+/-,Similar,51836+/- SqFt,4yrs+/-,Good,1288+/-SqFt,5,3,2:0,Crawl Space,Gravel Driveway,,4758324
1.30 KM,Detached,Bi-Level,102 Deeridge Rd,Black Point NS B0J 1T0,Jan/10/2025,"649,000",1+/-,Similar,67188+/- SqFt,1+/-,Good,1211+/-SqFt,6,3,2F,Full/Finished,DblBuiltin/PvdDway,,4758324
19.97 KM,Detached,1 Storey,5296 Highway 329,Blandford NS B0J 1T0,Oct/25/2024,"620,000",87+/-,Superior,93131+/- SqFt,44+/-,Average,1085+/-SqFt,6,3,1F,Part Finished,1.5Detached/GravelDwy,,4758324
0.34 KM,High Rise Apartment,1 Storey,904-71 Simcoe St,Toronto ON M5J 2S9,Feb/04/2025,"970,000",64,Similar,Condo Property,36,Similar,1340 SqFt,5,2 + 1,2:0,None,"1, Undgrnd. Stall",,4758529
0.05 KM,High Rise Apartment,1 Storey,3103-126 Simcoe St,Toronto ON M5H 4E6,Mar/06/2025,"785,000",27,Similar,Condo Property,12,Superior,853SqFt,5,2,2:0,None,"1, Undgrnd. Stall",,4758529
0.77 KM,High Rise Apartment,1 Storey,2805-361 Front St W,Toronto ON M5V 3R5,Feb/27/2025,"920,000",50,Similar,Condo Property,23,Superior,1043 SqFt,6,2+ 1,2:0,None,"1, Undgrnd. Stall",,4758529
.05 km,Townhouse,Bungalow,57 Morenz Terr,Kanata ON K2K 3H2,Sep/25/2024,"900,000",2,Similar,41' x 98' / 4014 SqFt,2003,Good,1470 SqFt,7,2,3F,Full Finished/Walkout,Dbl. Att. Gar.,,4758615
2.2 km,Townhouse,Bungalow,90 Kinmount Pvt,Kanata ON K2T 1K1,Mar/24/2025,"740,000",42,Similar,28' x 172' / 4485 SqFt,2002,Inferior,1465 SqFt,9,2,2F,"Full, Unfinished",Dbl. Att. Gar.,,4758615
1.7 km,Townhouse,Bungalow,41 Coulson Crt,Kanata ON K2K 2Z5,Apr/04/2025,"790,000",66,Similar,28' x 113' / 4842 SqFt,2000,Average,1475 SqFt,8,3,3F,Full Finished/Walkout,Dbl. Att. Gar.,,4758615
2.86 KM,Detached,2 Storey,1 Partridge Nest Dr,Mineville NS B2Z 1J8,Jan/17/2025,"525,000",20+/-,Inferior,28176+/-SqFt,42+/-,Inferior,1693+/-SqFt,7,4,1:1,Full/Finished,Sgl. Det. gar.,,4758672
14.66 KM,Detached,2 Storey,6547 Highway 7,Gaetz Brook NS B0J 2L0,Dec/13/2024,"420,000",3+/-,Inferior,21446+/-SqFt,80+/-,Similar,1100+/-SqFt,6,3,2:0,Crawl Space,"Driveway, Slab",,4758672
0.15 KM,Detached,2 Storey,47 Denise Dr,Lake Echo NS B3E 1M5,Sep/23/2024,"585,000",77+/-,Similar,24343+/-SqFt,39+/-,Similar,2402+/-SqFt,7,4,2:0,Full/Finished,Sgl. Att. Gar.,,4758672
2.70 KM,Detached,2 Storey,275 Lucas Way NW,Calgary AB T3P 0R5,Feb/18/2025,"1,038,888",29,Superior,390 SqM,3,Similar,233 SqM,7,3,3F1H,Full/Finished,Dbl. Att. Gar.,,4759024
2.95 KM,Detached,2 Storey,18 Carrington Rd NW,Calgary AB T3P 1L8,Apr/03/2025,"1,020,000",12,Superior,384 SqM,4,Inferior,248 SqM,9,5,4F,Full/Finished,Dbl. Att. Gar.,,4759024
7.38 KM,Detached,2 Storey,85 Sage Hill Cres NW,Calgary AB T3R 1Y2,Mar/04/2025,"1,005,000",26,Similar,333 SqM,4,Similar,224 SqM,8,4,2F1H,Full/Finished,Dbl. Att. Gar.,,4759024
9.73 KM,Detached,Bungalow,5 Willowdale Dr,Musquodoboit Harbour NS B0J 2L0,Mar/29/2025,"599,000",47,Superior,40000+/-SqFt,8,Superior,1382+/-SqFt,5,2,1:0,Secondary Suite,Sgl. Att. Gar.,,4759088
9.68 KM,Detached,3 Level Split,2 Willowdale Dr,Musquodoboit Harbour NS B0J 2L0,Feb/06/2025,"500,000",4,Superior,32393+/-SqFt,27,Inferior,1182+/-SqFt,6,3,2:0,Part/Full Finished,Dbl (2 Bay) Det. Gar.,,4759088
0.93 KM,Detached,Bi-Level,137 Myers Point Rd,Head of Jeddore NS B0J 1P0,Oct/18/2024,"429,900",2,Similar,48085+/-SqFt,30,Inferior,864+/-SqFt,5,2,1:0,Full/Finished,1.5 Det. Gar.,,4759088
0.99 KM,Detached,1 Storey,46 Highway 3,Hubbards NS B0J 1T0,Mar/28/2025,"375,000",31+/-,Similar,8600+/-SqFt,64+/-,Superior,1138 SqFt,6,3,1:0,Full/Part Finished,Driveway,,4759260
9.66 KM,Detached,1 Storey,7730 Highway 329,East River Point NS B0J 1T0,Dec/31/2024,"348,500",5+/-,Similar,21730+/-SqFt,38+/-,Similar,1092 SqFt,6,3,1:0,Full/Unfinished,Driveway (pvd),,4759260
9.79 KM,Detached,1 Storey,43 Summer Lane,Boutiliers Point NS B3Z 1V3,Oct/18/2024,"375,000",70+/-,Similar,67082+/-SqFt,65+/-,Similar,889 SqFt,4,2,1:0,Crawl Space,Dbl. Det. Gar.,,4759260
